,Ticker,Corr
61,زکوثر,0.7646673791566815
108,پدرخش,0.7644434508653405
483,وآتوس,0.7634923965903907
418,خودرو,0.7613567235413353
879,توسکا,0.7611623508114466
219,سقاین,0.7600067042749225
845,غشان,0.7591852860900334
478,آلا,0.7591481511155254
576,غدیس,0.7587760913904947
425,رانفور,0.7572812670474846
26,فلات,0.7566781440702203
686,تپسی,0.756274134125574
713,مداران,0.7558848278445469
436,ونیرو,0.7557411047762701
440,ممسنی,0.7553758081239191
695,کی بی سی,0.754327763244247
889,شسم,0.75095738409656
519,کازرو,0.750217792337372
604,بازده,0.7501800840463317
616,واعتبار,0.7482010948384481
411,رتکو,0.7449217486025135
745,اونیکس,0.744593957947592
342,خاهن,0.7407744408642755
177,ثامان,0.7392065879495762
640,فجام,0.7389167519570037
700,قشهد,0.7383549759013176
422,گارانتی,0.7356845311970132
380,وسپهر,0.7343025281236446
316,فکمند,0.7334965698116981
821,ثعمرا,0.7332023548334624
638,غکورش,0.7324441231881996
903,رمپنا,0.7273171780961395
62,شبریز,0.7264557789389132
364,خورشید,0.7241568275995175
461,شصدف,0.7214710327394552
882,والبر,0.7201818450128594
403,ودانا,0.7187321316599272
852,تداوم,0.7179831759900793
529,دسبحا,0.715483880764788
100,لابسا,0.7127898853357322
803,حتاید,0.7109083733029496
314,سایرا,0.7098414299027108
230,ونفت,0.7090971033622853
696,ولپارس,0.7090634063350033
698,سصفها,0.7075439083951328
490,کخاک,0.7066532953799316
807,زکشت,0.7050570744586974
326,حتوکا,0.70413693653884
658,رنیک,0.7031982906332335
457,وحافظ,0.7024099858827839
224,زدشت,0.701328088224665
750,غگیلا,0.6988455987681222
31,دانیک,0.6971945469905777
769,فبیرا,0.6971861372327616
744,رویش,0.697079053101003
714,فرآور,0.6956291766278564
42,وامین,0.6955451338846723
135,اکسیژن,0.6946720580413868
697,ولصنم,0.6944810344579001
764,شپدیس,0.6937503365794512
147,ثنظام,0.6928738520415169
773,کساوه,0.6902770431369307
771,کپارس,0.6858105581416637
70,تمحرکه,0.6830691157100014
375,لازما,0.6825115380261674
148,بسویچ,0.6738523363590925
869,حشکوه,0.6731901900901132
40,سباقر,0.6720964563231621
120,سپ,0.6696744078611274
781,تلیسه,0.6692074810376276
330,صدف,0.6687671789846633
83,قصفها,0.6663461373571719
143,کیمیا,0.6653628705342376
512,ما,0.6653294651585084
901,ددام,0.6579822503250119
894,دارا,0.6539439046221772
197,وسالت,0.6526935949913136
893,غپونه,0.6508365486035033
280,پکرمان,0.6496992271628326
102,ونوین,0.6492732878998518
596,چافست,0.6468348572093611
896,ساذری,0.6465256965342366
167,غپآذر,0.6459040996833578
748,چنوپا,0.6454058294998207
165,فگستر,0.6421559932431816
291,حبندر,0.640347569661698
159,شکبیر,0.638751942003197
140,ثشرق,0.6360048807511002
902,دتوزیع,0.6346304973173801
265,غمایه,0.6344089260323176
166,غشهداب,0.6336622245140288
888,پرداخت,0.6309134846818849
384,بکام,0.6306082162410579
286,غبهنوش,0.6287522073275127
118,خموتور,0.6268716829158607
557,کسرا,0.6262693986789994
885,ومعادن,0.6258555544526966
207,کورز,0.6237980650856221
823,کچاد,0.6226777532344973
683,مدیریت,0.6169369882208742
555,بتک,0.6157716087069459
36,وصنا,0.6141645802437008
35,غبشهر,0.6109694732966093
567,شخارک,0.6104322465590953
488,ثشاهد,0.6092806885698255
309,ولتجار,0.6083905385670322
320,فروسیل,0.6063332266319659
777,ذوب,0.6023147491170671
641,وساخت,0.6021471779808123
545,حپترو,0.5997286311841943
406,سبهان,0.5994855767192162
462,ولکار,0.5978205288768308
112,ثباغ,0.5971634266089031
378,خکار,0.5951098592743018
340,ونچر,0.5887228282526432
322,بمپنا,0.5865479966462234
72,لخزر,0.5860016844460708
656,غشاذر,0.5845187327163659
18,سلار,0.5836803184296511
222,تاپکیش,0.5809995622329637
485,پایا,0.5802857974148737
540,گپارس,0.5770840826235126
705,خلنت,0.576947522226044
573,نطرین,0.5754528510739996
354,ثجوان,0.5719096763408908
832,اخابر,0.5677988070617795
681,آباد,0.5628844939360823
587,آبین,0.5615389428712112
66,ولانا,0.5599045992893411
518,فبستم,0.5594098961857263
404,وآرین,0.5592888382675981
806,غمهرا,0.5578934309245182
811,وایرا,0.5561334954244821
394,پتروآگاه,0.5520021611137688
591,شساخت,0.551153218391837
592,درازی,0.5497467768668874
534,بالبر,0.5485385919693399
445,گشان,0.5371569945184982
149,کرمان,0.5356958505265946
551,بجهرم,0.5343403921986638
839,کسعدی,0.530844687809173
196,تکنو,0.5275867620726601
9,فسدید,0.5242536371845629
54,تنوین,0.522207204184046
580,تکمبا,0.5217383258653957
312,جهش,0.5136847539111822
299,خبنیان,0.508360543153067
836,سدور,0.5058361561971413
347,خپارس,0.5028711146609797
206,وتوصا,0.5025930743479747
830,درازک,0.5019480013239432
252,وثنو,0.49754705710150926
909,دیبا,0.49321093049519865
103,گدنا,0.4921516561943751
129,سنوین,0.49045281529907286
292,فلامی,0.4899831034615265
267,تکیمیا,0.4771250988359339
476,پتایر,0.47581776106076523
824,غپینو,0.4740364475040088
107,وبشهر,0.4704892978273456
