,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
358,16204,16204,15590,16204,16141,80528748,1299835135938,9900,هرمز,فولاد هرمزگان جنوب,فرابورس,6353,6353,6112,6353,6328
359,33080,33080,33080,33080,32270,1014798,33569517840,150,دروز,داروسازی روزدارو,بورس,16420,16420,16420,16420,16018
360,40010,40010,36380,40000,39520,14092629,556992473760,8024,سصوفی,سیمان صوفیان,بورس,30078,30078,27349,30070,29709
361,8527,8527,8527,8527,8527,3502973,29869850771,553,دهدشت,صنایع پتروشیمی دهدشت,پایه زرد,8527,8527,8527,8527,8527
362,190000,209000,189800,209000,203850,6556099,1336479760580,12729,پتایر,ایران تایر,بورس,3842,4226,3838,4226,4122
363,26200,27340,26190,27330,27160,250395371,6801039575860,62665,وبملت,بانک ملت,بورس,3465,3616,3464,3615,3592
364,66400,66400,66400,66400,66160,825193,54792815200,293,قزوین,کارخانجات قند قزوین,بورس,8497,8497,8497,8497,8466
365,11370,11370,11100,11370,11360,51779207,588153961980,11673,ختوقا,قطعات اتومبیل ایران,بورس,11115,11115,10851,11115,11105
366,47129,52089,47129,52089,50252,2094665,105262085443,1517,وآتوس,توسعه س. کشاورزی آرین توسکا,پایه زرد,1928,2131,1928,2131,2056
367,14998,15448,13020,15290,14639,62571274,915954643041,18299,مدیر,ص.س.مدیریت ثروت ص.بازنشستگی-س,نامعلوم,14272,14700,12390,14550,13930
368,742570,820730,742570,820730,795610,36618,30003745080,119,وملی,گروه صنعتی ملی (هلدینگ,بورس,723098,799209,723098,799209,774747
369,81910,81910,81910,81910,81910,1969152,161293240320,1033,ثشاهد,سرمایه گذاری شاهد,بورس,51015,51015,51015,51015,51015
370,72061,72061,72061,72061,73429,20170,1453470370,36,واحصا,احیاء صنایع خراسان,پایه زرد,35692,35692,35692,35692,36369
371,56580,62000,56540,62000,57460,769586,44047391160,485,کخاک,صنایع خاک چینی ایران,بورس,20147,22077,20133,22077,20461
372,19554,19554,19554,19554,19554,25553217,499667605218,2171,شلرد,کود شیمیایی اوره لردگان,پایه زرد,18967,18967,18967,18967,18967
373,109800,114340,109700,114340,114070,6076330,693136906950,6938,خنصیر,مهندسی نصیرماشین,بورس,13030,13569,13018,13569,13537
374,16010,17220,16010,17220,17040,21371740,364151090460,6639,وایران,لیزینگ ایرانیان,بورس,9247,9946,9247,9946,9842
375,18544,18544,18544,18544,18471,439494,8149976736,127,سفارود,کارخانه فارسیت درود,پایه زرد,18544,18544,18544,18544,18471
376,31770,31770,30190,30190,30440,3705258,112778677480,1340,ساراب,سیمان داراب,بورس,17694,17694,16814,16814,16953
377,44650,45600,41610,45600,45280,4000226,181139243420,1310,کساپا,سایپاشیشه,بورس,4158,4246,3875,4246,4217
378,177280,177280,177280,177280,177280,364227,64570162560,425,سفار,سیمان فارس,بورس,155874,155874,155874,155874,155874
379,10800,21788,10172,14000,12420,2597620,32261975800,1047,صایند,صندوق س. گنجینه آینده روشن-د,پایه زرد,10800,21788,10172,14000,12420
380,5853,5853,5792,5853,5851,158063697,924769292807,15570,تپکو,تولیدتجهیزات سنگین هپکو,پایه زرد,5853,5853,5792,5853,5851
381,105320,105320,100500,105320,105290,8034730,845945351010,2818,شنفت,نفت پارس,بورس,10573,10573,10089,10573,10570
382,13706,15148,13706,14900,14621,28799248,421064791324,5297,وسبحان,سرمایه گذاری سبحان,فرابورس,1516,1676,1516,1648,1618
383,66500,67650,61510,67650,65705,5759614,378433606862,4130,کمینا,شیشه سازی مینا,پایه زرد,18905,19232,17487,19232,18679
384,14000,14210,13960,14210,14170,23340915,330820550990,2788,سیدکو,سرمایه گذاری توسعه صنایع سیمان,بورس,8054,8174,8031,8174,8151
385,74870,75300,74600,74950,74960,2407457,180470853770,2516,سرو,صندوق س سروسودمند مدبران-سهام,نامعلوم,74870,75300,74600,74950,74960
386,10200,10200,9820,10200,10160,38303311,389340755160,3493,ما,بیمه  ما,بورس,4259,4259,4100,4259,4242
387,91912,101490,91912,99000,95663,24091147,2304632764582,28661,دماوند,تولید نیروی برق دماوند,فرابورس,43672,48223,43672,47040,45454
388,116028,116028,116028,116028,114127,79365,9208562220,61,کهرام,تولیدی گرانیت بهسرام,پایه نارنجی,116028,116028,116028,116028,114127
389,171240,174650,167520,174000,171670,825729,141755283930,1394,پارس,پتروشیمی پارس,بورس,1609,1641,1574,1635,1613
390,19536,19536,19536,19536,19162,2389423,46679767728,461,وملل,اعتباری ملل,فرابورس,11230,11230,11230,11230,11015
391,34440,34440,31400,34430,33630,53139361,1786892161190,187871,آبادا,تولید نیروی برق آبادان,بورس,31196,31196,28442,31187,30462
392,4050,4171,4050,4171,793,5566173,23111743242,353,فبستم,صنایع بسته بندی مشهد,پایه زرد,8276,8523,8276,8523,1620
393,8000,8131,7900,8131,8070,12624208,101883295472,2349,کازرو,پتروشیمی کازرون,پایه زرد,8000,8131,7900,8131,8070
394,67920,67940,64940,67940,67100,6670096,447576453510,3523,کروی,توسعه معادن روی ایران,بورس,10902,10905,10424,10905,10771
395,45340,45340,45340,45340,45340,3970689,180031039260,763,شپاس,نفت پاسارگاد,فرابورس,30381,30381,30381,30381,30381
396,65100,68350,61850,65600,67140,4123843,276869609750,4178,ختور,رادیاتور ایران,بورس,13198,13857,12539,13299,13611
397,96000,97050,90600,96780,95360,1916952,182798230860,1356,تکشا,گسترش صنایع وخدمات کشاورزی,بورس,92705,93719,87490,93458,92087
398,10365,10400,10363,10398,10367,2311097,23959381648,122,فردا,صندوق س آوای فردای زاگرس-ثابت,نامعلوم,10365,10400,10363,10398,10367
399,10190,10690,10190,10390,10330,24001219,247990597940,3145,ولساپا,لیزینگ رایان سایپا,بورس,5587,5862,5587,5697,5664
400,40150,40820,39490,40000,40650,5541114,225254377820,1693,دسبحا,گروه دارویی سبحان,بورس,13495,13720,13273,13445,13663
401,13730,13730,13080,13350,13450,19301642,259608249230,5453,دانا,بیمه دانا,بورس,2794,2794,2662,2717,2737
402,34380,34380,33020,34380,34270,3011717,103207445070,1505,پاسا,ایران یاساتایرورابر,بورس,14127,14127,13568,14127,14082
403,150000,154000,145501,150000,149627,74690,11175662340,181,آسام,صندوق س.آرمان سپهر آشنا-م,نامعلوم,16666,17111,16166,16666,16625
404,62410,62410,62410,62410,62000,775988,48429411080,553,بالبر,کابل البرز,بورس,30814,30814,30814,30814,30612
405,56100,56100,54600,55700,55920,6440709,360182823610,4077,کنور,توسعه معدنی و صنعتی صبانور,بورس,10163,10163,9891,10090,10130
406,27700,28924,26170,28830,28101,77181410,2168840164462,12317,کوثر,بیمه کوثر,فرابورس,6693,6988,6323,6966,6789
407,41400,41400,41400,41400,41380,1402910,58080474000,837,فلوله,لوله وماشین سازی ایران,بورس,3057,3057,3057,3057,3055
408,41100,41100,39000,39990,40920,40469225,1655843521390,14133,شسپا,نفت سپاهان,بورس,3101,3101,2943,3017,3088
409,218113,218113,218113,218113,211290,34212,7462081956,68,گپارس,امور رفاهی کارگزاران پارس,پایه زرد,215291,215291,215291,215291,208556
410,60000,61153,55401,61153,59958,2063385,123716704239,681,فافزا,فولاد افزا سپاهان,پایه زرد,54354,55398,50188,55398,54316
411,41810,41860,38500,41860,41520,3722677,154564632464,1626,حخزر,کشتیرانی دریای خزر,فرابورس,10120,10133,9319,10133,10050
412,15400,15762,14910,15762,15669,61874646,969512573174,8804,لکما,کارخانجات مخابراتی ایران,پایه زرد,5476,5604,5301,5604,5571
413,186860,186860,186860,186860,186860,489357,91441249020,604,وآذر,سرمایه گذاری توسعه آذربایجان,بورس,19414,19414,19414,19414,19414
414,56260,56270,54300,56270,56200,1601264,89986785310,415,حپترو,حمل و نقل پتروشیمی( سهامی عام,بورس,55686,55695,53746,55695,55626
415,58545,58545,57000,58545,58391,3000314,175189944937,1915,لپیام,گسترش صنایع پیام,پایه زرد,58452,58452,56909,58452,58298
416,12068,12086,12066,12086,12082,17415358,210419731305,727,یاقوت,صندوق س یاقوت آگاه-ثابت,نامعلوم,12068,12086,12066,12086,12082
417,28082,28082,26800,28080,27565,579182,16011252958,587,ساروج,بین المللی ساروج بوشهر,پایه زرد,20693,20693,19748,20691,20312
418,9550,9550,9273,9550,9547,132577333,1265689696900,21874,بجهرم,توسعه مولد نیروگاهی جهرم,فرابورس,9106,9106,8842,9106,9103
419,62220,67270,62220,67270,65810,9899838,651491039890,3978,مرقام,ایران ارقام,بورس,62220,67270,62220,67270,65810
420,28638,28638,28638,28638,28638,6527103,186923175714,784,وسین,بیمه سینا,پایه زرد,6308,6308,6308,6308,6308
421,35206,35206,35206,35206,33853,150,5280900,1,بتک,کارخانجات کابل سازی تک,پایه نارنجی,35206,35206,35206,35206,33853
422,148891,151465,142892,151465,150145,2946153,442350798059,4934,کلر,کلر پارس,فرابورس,62903,63991,60369,63991,63433
423,47020,47020,44900,47020,46930,6532631,306586326140,3042,کسرا,سرامیک های صنعتی اردکان,بورس,7863,7863,7508,7863,7848
424,4362,4362,4362,4362,4333,1546251,6744746862,186,شستان,پتروشیمی گلستان,پایه زرد,1103,1103,1103,1103,1096
425,47200,49440,46310,46400,47900,32859164,1574013058670,18269,شیران,س. صنایع شیمیایی ایران,بورس,5228,5476,5129,5139,5305
426,16620,16620,16620,16620,16620,8859236,147240502320,2670,غشهد,شهد ایران,بورس,6105,6105,6105,6105,6105
427,23190,23190,22090,22580,23020,22972122,528773427600,7963,رتاپ,تجارت الکترونیک  پارسیان,بورس,8484,8484,8081,8260,8421
428,26900,27990,25700,27990,27720,22849706,633313374020,6555,کحافظ,کاشی وسرامیک حافظ,بورس,9611,10000,9182,10000,9904
429,71900,74640,71090,73750,73750,4995539,368407252110,2028,شیراز,پتروشیمی شیراز,بورس,18588,19297,18379,19067,19067
430,28300,30910,28300,30890,29620,7106720,210472485120,2966,فایرا,آلومینیوم ایران,بورس,3344,3652,3344,3650,3500
431,61000,67000,61000,66760,63070,8624242,543945030390,5517,شخارک,پتروشیمی خارک,بورس,41888,46009,41888,45844,43310
432,36100,36100,36100,36100,36100,11654782,420737630200,20628,شاروم,پتروشیمی ارومیه,فرابورس,11865,11865,11865,11865,11865
433,38410,39938,38000,39938,39522,15286647,604161824812,3042,سمگا,گروه سرمایه گذاری میراث فرهنگی,فرابورس,10110,10512,10002,10512,10403
434,11490,11834,11146,11146,11292,33596362,379372103683,4194,خاور,ایران خودرو دیزل,پایه زرد,1372,1413,1331,1331,1348
435,30608,30608,30608,30608,30497,1697116,51945326528,479,نطرین,عطرین نخ قم,فرابورس,20124,20124,20124,20124,20051
436,123690,131500,110000,131000,125198,141250,17684192390,641,ثروتم,صندوق س. ثروت آفرین پارسیان-س,نامعلوم,123697,131508,110007,131008,125206
437,64500,66078,62210,66078,65810,6042693,397669341251,4168,غدیس,پاکدیس,فرابورس,13173,13495,12705,13495,13440
438,18750,18750,18100,18750,18720,9117214,170660867480,2865,سیلام,سیمان ایلام,بورس,18394,18394,17756,18394,18364
439,19320,19320,17900,18790,18870,34067651,642981853590,10683,سمازن,سیمان مازندران,بورس,8973,8973,8314,8727,8764
440,71817,71817,71817,71817,72646,296344,21282537048,60,مفاخر,توسعه فناوری اطلاعات خوارزمی,فرابورس,14381,14381,14381,14381,14547
441,22000,22560,20730,22560,22370,14034634,313920775760,3997,تکمبا,کمباین سازی ایران,بورس,20696,21222,19501,21222,21044
442,67500,69270,66500,69270,69160,4780105,330615904270,3354,شفارس,صنایع شیمیایی فارس,بورس,3456,3547,3405,3547,3541
443,93379,93379,90000,91089,93288,2020845,188520023936,1450,بالاس,مهندسی ساختمان تاسیسات راه آهن,فرابورس,92623,92623,89272,90352,92533
444,8772,8772,8114,8714,8684,12722685,110489045964,2899,وملت,سرمایه گذاری ملت,پایه نارنجی,8772,8772,8114,8714,8684
445,57498,63550,57498,63550,61349,5166325,316949475351,3890,ولراز,لیزینگ رازی,پایه زرد,57498,63550,57498,63550,61349
