,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
683,16600,16700,16550,16700,16690,21397167,357132102760,2440,غنوش,نوش مازندران,بورس,16524,16624,16475,16624,16614
684,34770,36500,34570,36500,36200,3651395,132166683990,1208,قشهد,شهد,بورس,23175,24328,23041,24328,24128
685,18600,18600,18060,18400,18350,5774164,105963651710,475,دریا,صندوق س دریای آبی فیروزه-سهام,نامعلوم,18600,18600,18060,18400,18350
686,75160,75160,72390,73200,74290,25438587,1889861631730,6994,زپارس,ملی کشت و صنعت و دامپروری پارس,بورس,74747,74747,71992,72797,73881
687,9900,10150,9810,9850,10090,19183738,193605929210,2679,دزهراوی,داروسازی زهراوی,بورس,9900,10150,9810,9850,10090
688,6550,6700,6310,6600,6600,48834099,322533038280,3115,مادیرا,صنایع مادیران,فرابورس,6398,6545,6164,6447,6447
689,28440,28440,28440,28440,28440,960594,27319293360,255,خلنت,لنت ترمزایران,بورس,28230,28230,28230,28230,28230
690,146150,146150,146150,146150,146100,142602,20841282300,103,شمواد,تولید مواداولیه الیاف مصنوعی,پایه زرد,146150,146150,146150,146150,146100
691,29750,29750,28050,29300,29350,7620088,223734907250,803,بایکا,کارخانجات کابلسازی ایران,پایه زرد,29750,29750,28050,29300,29350
692,3950,3950,3950,3950,3950,1000000,3950000000,14,گوهرانح,ح . س. توسعه گوهران امید,فرابورس,3950,3950,3950,3950,3950
693,4368,4446,4310,4409,4441,96615798,429026708769,2667,خمهر,مهرکام پارس,بورس,4368,4446,4310,4409,4441
694,5139,5276,5074,5190,5149,199565029,1027526590437,6970,فخوز,فولاد  خوزستان,بورس,4748,4875,4688,4795,4757
695,54149,54151,54149,54150,54150,9234975,500071997860,919,آکورد,صندوق س. آرمان آتی کوثر-د,پایه زرد,54149,54151,54149,54150,54150
696,19334,19804,19300,19804,19598,63372094,1241956879639,3244,هم وزن,صندوق س. شاخصی کیان-س,نامعلوم,19334,19804,19300,19804,19598
697,11600,11970,10960,11900,11640,17914656,208559155430,2716,مداران,داده پردازی ایران,بورس,11366,11728,10739,11660,11405
698,55100,55100,53800,55100,55040,6812146,374921433180,1924,فرآور,فرآوری موادمعدنی ایران,بورس,54413,54413,53129,54413,54354
699,54570,54570,51600,54470,54430,2596253,141323151740,1484,دکیمی,کیمیدارو,بورس,51158,51158,48374,51064,51027
700,35350,36540,34550,36540,36350,6695884,243382719620,1774,خچرخش,چرخشگر,بورس,35143,36326,34348,36326,36137
701,4675,4899,4675,4860,4861,15573649,75703025315,719,حگردش,ریل گردش ایرانیان,پایه زرد,4662,4885,4662,4847,4848
702,9200,9580,9200,9570,9560,163127709,1559761370080,14769,امین,تامین سرمایه امین,بورس,9200,9580,9200,9570,9560
703,9210,9550,9090,9330,9360,72100380,674606374760,5721,فاسمین,کالسیمین,بورس,7812,8100,7710,7914,7939
704,15600,15600,15600,15600,15170,52890,825084000,14,پلاست,کارخانجات تولیدی پلاستیران,پایه زرد,15600,15600,15600,15600,15170
705,34500,34850,34100,34850,34600,3378210,116858966800,845,وثوق,سرمایه گذاری وثوق امین,پایه زرد,34500,34850,34100,34850,34600
706,306,321,306,313,317,9156567,2899849285,148,وسرمدح,ح. بیمه سرمد,پایه زرد,306,321,306,313,317
707,12970,14700,12970,14310,13420,40132541,538773670640,7092,آ س پ,آ.س.پ,فرابورس,12970,14700,12970,14310,13420
708,30430,30430,29860,30430,30420,1732767,52703445470,568,بشهاب,لامپ پارس شهاب,بورس,29661,29661,29105,29661,29651
709,66700,66700,66700,66700,66700,467436,31177981200,288,سنیر,سیمان سفید نی ریز,بورس,63494,63494,63494,63494,63494
710,10900,11430,10760,11420,11350,16399775,186061750070,2643,دسانکو,داروسازی سبحان انکولوژی,فرابورس,10900,11430,10760,11420,11350
711,20490,20690,19920,20610,20460,5906444,120863996050,1355,غصینو,صنعتی مینو,فرابورس,18928,19112,18401,19039,18900
712,28920,30000,28450,29980,29590,57803795,1710185779360,6851,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس,26623,27617,26190,27599,27240
713,27932,27933,27932,27933,27932,8261619,230764168086,280,تصمیم,صندوق س با درآمد ثابت تصمیم,نامعلوم,27932,27933,27932,27933,27932
714,13941,13942,13941,13942,13941,909520,12679867350,14,نشان,صندوق س. نشان هامرز-د,پایه زرد,13941,13942,13941,13942,13941
715,7900,7950,7650,7870,7880,15957806,125709535190,1275,غچین,کشت و صنعت چین چین,بورس,7900,7950,7650,7870,7880
716,24000,24000,22850,23700,23500,3090803,72713269050,332,بپاس,بیمه پاسارگاد,فرابورس,22810,22810,21717,22525,22335
717,25680,26600,25116,26000,25993,115902678,3012660081398,14121,توان,صندوق س. اهرمی توان مفید-س,نامعلوم,25680,26600,25116,26000,25993
718,21705,21796,21705,21794,21771,2077917,45237864993,139,ویستا,صندوق س. ویستا -س,نامعلوم,21705,21796,21705,21794,21771
719,20000,20000,18350,19350,19250,39608844,762526522600,8471,ثالوند,سرمایه گذاری مسکن الوند,فرابورس,20000,20000,18350,19350,19250
720,84800,85500,83110,84890,84190,472950,39815698080,486,غالبر,لبنیات کالبر,بورس,84800,85500,83110,84890,84190
721,3135,3135,3105,3135,3135,1115848940,3498101838242,14081,وبصادر,بانک صادرات ایران,بورس,3131,3131,3101,3131,3131
722,7240,7240,7240,7240,7240,14257268,103222620320,809,خزر,فنرسازی زر,بورس,7185,7185,7185,7185,7185
723,19700,20900,19700,20900,20550,10177107,208972789400,1283,ومشان,س. فنی و مهندسی مشانیر,پایه زرد,19700,20900,19700,20900,20550
